eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.800000011920929,1000.0,132000,,,,,,-0.05830362066626549,-5.716864213347435,0.0006515223266887916,0.0003,0.222021484375,-0.026485967877670193,0.019149592,640,0.2,0.9089463949203491
0.800000011920929,1000.0,133000,,,,,,,,,,,,,,,
,,133120,5376,0.897,24,960.0,65,,,,,,,,,,
0.800000011920929,1000.0,134000,,,,,,-0.039683591574430466,-5.807305330038071,5.006860787091227e-05,0.0003,0.160693359375,-0.018223546957597137,0.014568245,650,0.2,0.9843657482415438
0.800000011920929,1000.0,135000,,,,,,,,,,,,,,,
,,135168,5458,0.9089999999999999,24,960.0,66,,,,,,,,,,
0.6000000089406967,1000.0,136000,,,,,,-0.04581868648529053,-5.767803613841534,0.0016519751917257962,0.0003,0.206494140625,-0.013475627970183267,0.017761197,660,0.2,0.810944601893425
0.6000000089406967,1000.0,137000,,,,,,,,,,,,,,,
,,137216,5540,0.922,24,951.41,67,,,,,,,,,,
0.800000011920929,1000.0,138000,,,,,,0.003972759936004877,-5.693229205906391,0.0024411935114585503,0.0003,0.204736328125,-0.01417162870930042,0.018699162,670,0.2,0.7740471065044403
0.800000011920929,1000.0,139000,,,,,,,,,,,,,,,
,,139264,5623,0.9319999999999999,24,960.0,68,,,,,,,,,,
0.800000011920929,1000.0,140000,,,,,,-0.05365702137351036,-5.816094903647899,5.2076552623958605e-05,0.0003,0.257568359375,-0.020534902217332274,0.025883272,680,0.2,0.9745053350925446
0.800000011920929,1000.0,141000,,,,,,,,,,,,,,,
,,141312,5705,0.9339999999999997,24,960.0,69,,,,,,,,,,
0.800000011920929,1000.0,142000,,,,,,-0.031432680785655975,-5.874078467488289,4.368496459958848e-05,0.0003,0.178857421875,-0.02191226425493369,0.018170536,690,0.2,0.9808390345424414
0.800000011920929,1000.0,143000,,,,,,,,,,,,,,,
,,143360,5788,0.9299999999999998,24,960.0,70,,,,,,,,,,
0.800000011920929,1000.0,144000,,,,,,-0.016285551711916924,-5.851039901375771,0.00013614733992852734,0.0003,0.12333984375,-0.0196789833062212,0.013701897,700,0.2,0.9712974037975073
0.800000011920929,1000.0,145000,,,,,,,,,,,,,,,
,,145408,5870,0.9349999999999998,24,960.0,71,,,,,,,,,,
0.800000011920929,1000.0,146000,,,,,,-0.02707374468445778,-5.908802595734596,1.5427197316597584e-05,0.0003,0.208740234375,-0.01844735182239674,0.025328115,710,0.2,0.9757784549146891
0.800000011920929,1000.0,147000,,,,,,,,,,,,,,,
,,147456,5952,0.9369999999999998,24,960.0,72,,,,,,,,,,
0.800000011920929,1000.0,148000,,,,,,0.018108509480953217,-5.969764120876789,8.871758662727659e-06,0.0003,0.23955078125,-0.01604539796244353,0.02023938,720,0.2,0.994573141913861
0.800000011920929,1000.0,149000,,,,,,,,,,,,,,,
,,149504,6035,0.9570000000000002,24,933.8,73,,,,,,,,,,
0.800000011920929,1000.0,150000,,,,,,-0.008106447756290436,-5.780700016021728,0.004481998099686279,0.0003,0.220849609375,-0.004782194655854255,0.014091905,730,0.2,0.7358279228210449
0.800000011920929,1000.0,151000,,,,,,,,,,,,,,,
,,151552,6117,0.9670000000000002,24,930.0,74,,,,,,,,,,
0.800000011920929,1000.0,152000,,,,,,-0.0021350597962737083,-5.8696269094944,0.002180779494528906,0.0003,0.212841796875,-0.006087445878074504,0.012776606,740,0.2,0.7337089478969574
